Location,point
"Terra Alta, Catalonia, Spain","(41.027352300000004, 0.4105997375190444, 0.0)"
"Montsant, Catalonia, Spain","(41.117055, 1.2110712, 0.0)"
"Tarragona, Catalonia, Spain","(41.1172364, 1.2546057, 0.0)"
"Manchuela, Central Spain, Spain","(41.1449359, -4.4596223, 0.0)"
"California-Oregon, California, US","(41.209752, -122.2716101, 0.0)"
"Priorat, Catalonia, Spain","(41.2137983, 0.811623628426715, 0.0)"
"Penedès, Catalonia, Spain","(41.2890327, 1.5934545, 0.0)"
"The Hamptons, Long Island, New York, US","(41.31706925, -74.12712223648614, 0.0)"
"Catalunya, Catalonia, Spain","(41.387434400000004, 2.1690313098684193, 0.0)"
"Catalonia, Catalonia, Spain","(41.3960809, 2.187968871820229, 0.0)"
"Conca de Barberà, Catalonia, Spain","(41.44389565, 1.1885113323042593, 0.0)"
"Alella, Catalonia, Spain","(41.4952867, 2.2942758, 0.0)"
"Siskiyou County, California, US","(41.5007223, -122.54435414752092, 0.0)"
"Costers del Segre, Catalonia, Spain","(41.502298249999996, 0.8273990115524253, 0.0)"
"Southeastern New England, Massachusetts, US","(41.52136945, -70.66712316353505, 0.0)"
"Iowa, Iowa, US","(41.66586935, -91.57334352186675, 0.0)"
"Isle St. George, Ohio, US","(41.7176504, -82.8153332, 0.0)"
"Grand River Valley, Ohio, US","(41.7361547, -81.2812144, 0.0)"
"Pla de Bages, Catalonia, Spain","(41.7785429, 1.8904077, 0.0)"
"California-Washington, California, US","(41.882742, -87.6962347, 0.0)"
"Lazio, Central Italy, Italy","(41.9186101, 12.4733123, 0.0)"
"California, California, US","(41.9221873, -87.697195, 0.0)"
"Monterrei, Galicia, Spain","(41.9467657, -7.4491474, 0.0)"
"Lake Erie, New York, US","(42.1432445, -81.2396642041535, 0.0)"
"Southern Oregon, Oregon, US","(42.186606850000004, -122.69679025359596, 0.0)"
"Applegate Valley, Oregon, US","(42.2570634, -123.1682392, 0.0)"
"Cava, Catalonia, Spain","(42.31658175, 1.6111496867672197, 0.0)"
"Ribeiro, Galicia, Spain","(42.31990645, -8.152266856014716, 0.0)"
"Michigan, Michigan, US","(42.33136, -83.0520837, 0.0)"
"Rías Baixas, Galicia, Spain","(42.4024738, -8.8083575, 0.0)"
"Abruzzo, Central Italy, Italy","(42.4618672, 14.2164764, 0.0)"
"Finger Lakes, New York, US","(42.5056751, -76.77237863157347, 0.0)"
"Ribeira Sacra, Galicia, Spain","(42.5195881, -7.5141181, 0.0)"
"Seneca Lake, New York, US","(42.62798415, -76.89641403030322, 0.0)"
"Cayuga Lake, New York, US","(42.697675950000004, -76.7126902611025, 0.0)"
"Morellino di Scansano, Tuscany, Italy","(42.712553650000004, 11.228051603392505, 0.0)"
"Tasmania, Tasmania, Australia","(-42.9070652, 147.32148477624992, 0.0)"
"Sant'Antimo, Tuscany, Italy","(42.9778888, 11.2998783, 0.0)"
"Orcia, Tuscany, Italy","(43.0201424, 11.6088904, 0.0)"
"Monteregio di Massa Marittima, Tuscany, Italy","(43.052084699999995, 10.889615415770738, 0.0)"
"Brunello di Montalcino, Tuscany, Italy","(43.0525059, 11.5049862, 0.0)"
"Rosso di Montalcino, Tuscany, Italy","(43.0546099, 11.3622147, 0.0)"
"Rosso di Toscana, Tuscany, Italy","(43.0573443, 11.608908449999994, 0.0)"
"Vino Nobile di Montepulciano, Tuscany, Italy","(43.0716141, 11.8054571, 0.0)"
"Val di Cornia Suvereto, Tuscany, Italy","(43.0719415, 10.7135421, 0.0)"
"Umbria, Central Italy, Italy","(43.1100952, 12.3898763, 0.0)"
"Bandol, Provence, France","(43.1357717, 5.7523647, 0.0)"
"St. David's Bench, Ontario, Canada","(43.1566694, -79.1078522, 0.0)"
"Beamsville Bench, Ontario, Canada","(43.1654577, -79.4751839, 0.0)"
"Bolgheri, Tuscany, Italy","(43.2340065, 10.6179334, 0.0)"
"Niagara Escarpment, Ontario, Canada","(43.2447011, -79.938325, 0.0)"
"Niagara-On-The-Lake, Ontario, Canada","(43.2556116, -79.0723264, 0.0)"
"Cortona, Tuscany, Italy","(43.2752976, 11.9850623, 0.0)"
"Jurançon Sec, Southwest France, France","(43.2871825, -0.3896425, 0.0)"
"Jurançon, Southwest France, France","(43.2871825, -0.3896425, 0.0)"
"Bergerac Rosé, Southwest France, France","(43.3079868, 5.3816721, 0.0)"
"Ohio, Ohio, US","(43.32243, -74.9786, 0.0)"
"Montescudaio, Tuscany, Italy","(43.3262785, 10.6269946, 0.0)"
"Umpqua Valley, Oregon, US","(43.3646201, -123.4707511, 0.0)"
"Chianti Classico, Tuscany, Italy","(43.3932476, 11.3086645, 0.0)"
"Var, Provence, France","(43.4173592, 6.2664620128919, 0.0)"
"Rasteau, Rhône Valley, France","(43.4451067, 5.3630444, 0.0)"
"Marche, Central Italy, Italy","(43.4496897, 13.39345, 0.0)"
"Côtes de Provence, Provence, France","(43.4499127, 6.656105192180794, 0.0)"
"San Gimignano, Tuscany, Italy","(43.4677993, 11.0432115, 0.0)"
"Vernaccia di San Gimignano, Tuscany, Italy","(43.4680172, 11.0419989, 0.0)"
"Palette, Provence, France","(43.5104611, 5.4889374, 0.0)"
"Alpilles, Provence, France","(43.5158728, 5.47209632746815, 0.0)"
"Toscana, Tuscany, Italy","(43.5248239, 11.9066895, 0.0)"
"Madiran, Southwest France, France","(43.5502022, -0.0580853, 0.0)"
"Elkton Oregon, Oregon, US","(43.6370577, -123.5673843, 0.0)"
"Saint-Mont, Southwest France, France","(43.6519486, -0.1506191, 0.0)"
"Assisi, Central Italy, Italy","(43.6534756, -79.41459718646617, 0.0)"
"Gers, Southwest France, France","(43.695527600000005, 0.4101019175237992, 0.0)"
"Chianti, Tuscany, Italy","(43.7043073, 11.1048413, 0.0)"
"Buzet, Southwest France, France","(43.7096644, -0.8313243, 0.0)"
"Montecucco, Tuscany, Italy","(43.7387516, 11.385991, 0.0)"
"Les Baux de Provence, Provence, France","(43.7436371, 4.795125, 0.0)"
"Maremma Toscana, Tuscany, Italy","(43.7697164, 11.2612205, 0.0)"
"Maremma, Tuscany, Italy","(43.7697164, 11.2612205, 0.0)"
"Tuscany, Tuscany, Italy","(43.7914419, 11.2239577, 0.0)"
"Barco Reale di Carmignano, Tuscany, Italy","(43.8139111, 11.019155, 0.0)"
"Carmignano, Tuscany, Italy","(43.8140654, 11.0190297, 0.0)"
"Pomino, Tuscany, Italy","(43.8151012, 11.5506357, 0.0)"
"Gard, Languedoc-Roussillon, France","(43.8228184, 4.3688296, 0.0)"
"Fronton, Southwest France, France","(43.840295, 1.390285, 0.0)"
"Montecarlo, Tuscany, Italy","(43.8511862, 10.6676214, 0.0)"
"Gaillac, Southwest France, France","(43.9016766, 1.8967943, 0.0)"
"Landes, Southwest France, France","(44.00996945, -0.6433872354467377, 0.0)"
"Prince Edward County, Ontario, Canada","(44.031827, -77.246933, 0.0)"
"Châteauneuf-du-Pape, Rhône Valley, France","(44.0382496, 4.845788, 0.0)"
"Oregon, Oregon, US","(44.0505054, -123.0950506, 0.0)"
"Beaumes-de-Venise, Rhône Valley, France","(44.1353808, 5.0447123, 0.0)"
"Costa Toscana, Tuscany, Italy","(44.2091823, 10.2612037, 0.0)"
"Forlì, Central Italy, Italy","(44.2246723, 12.2934906, 0.0)"
"Côtes du Tarn, Southwest France, France","(44.2365873, 1.7689625, 0.0)"
"Coteaux du Tricastin, Rhône Valley, France","(44.3459456, 4.7640609, 0.0)"
"Clairette de Die, Rhône Valley, France","(44.4073325, 4.1383248, 0.0)"
"Cahors, Southwest France, France","(44.4495, 1.4364999, 0.0)"
"Vermont, Vermont, US","(44.4737365, -73.19414679705882, 0.0)"
"Lot, Southwest France, France","(44.624991800000004, 1.6657742169753669, 0.0)"
"Romagna, Central Italy, Italy","(44.705595, 9.717744893877548, 0.0)"
"Emilia, Central Italy, Italy","(44.705595, 9.717744893877548, 0.0)"
"Asti, Piedmont, Italy","(44.7605629, 8.2998538, 0.0)"
"Pauillac, Bordeaux, France","(44.7760032, -0.6511306341351732, 0.0)"
"Graves, Bordeaux, France","(44.7760791, -0.6523275464905922, 0.0)"
"Médoc, Bordeaux, France","(44.7761268, -0.6517633127162602, 0.0)"
"Listrac, Bordeaux, France","(44.77638175, -0.6511353707567646, 0.0)"
"Côtes de Bordeaux, Bordeaux, France","(44.779179, -0.4610873, 0.0)"
"Saint-Julien, Bordeaux, France","(44.792984, -0.5040716, 0.0)"
"Monbazillac, Southwest France, France","(44.795, 0.4925, 0.0)"
"Saussignac, Southwest France, France","(44.8014957, 0.3264929, 0.0)"
"Bordeaux, Bordeaux, France","(44.841225, -0.5800364, 0.0)"
"Sauternes, Bordeaux, France","(44.8414205, -0.7997609, 0.0)"
"Fronsac, Bordeaux, France","(44.8424048, -0.799658, 0.0)"
"Bordeaux Rosé, Bordeaux, France","(44.8427203, -0.5813239, 0.0)"
"Cérons, Bordeaux, France","(44.844275, -0.7972605, 0.0)"
"Barsac, Bordeaux, France","(44.8443948, -0.7981731, 0.0)"
"Entre-Deux-Mers, Bordeaux, France","(44.845146, -0.5326435, 0.0)"
"Margaux, Bordeaux, France","(44.8464734, -0.7908978, 0.0)"
"Sainte-Foy Bordeaux, Bordeaux, France","(44.8489497, -0.5728811, 0.0)"
"Bergerac, Southwest France, France","(44.8534568, 0.487531, 0.0)"
"Bergerac Sec, Southwest France, France","(44.857158, 0.48908932660446847, 0.0)"
"Montravel, Southwest France, France","(44.8599738, 0.0533919, 0.0)"
"Côtes de Bergerac, Southwest France, France","(44.8617149, 0.5021455, 0.0)"
"Haut-Médoc, Bordeaux, France","(44.8735122, -0.636612, 0.0)"
"Polk County, Oregon, US","(44.879673, -123.4599594, 0.0)"
"Bordeaux Blanc, Bordeaux, France","(44.8898549, -0.5038666, 0.0)"
"Saint-Émilion, Bordeaux, France","(44.8923795, -0.1962411, 0.0)"
"Pomerol, Bordeaux, France","(44.8924929, -0.5179616, 0.0)"
"Saint-Estèphe, Bordeaux, France","(44.8973682, -0.58424555, 0.0)"
"Listrac-Médoc, Bordeaux, France","(44.9133173, -0.6828554, 0.0)"
"Moulis-en-Médoc, Bordeaux, France","(44.9133416, -0.6837567, 0.0)"
"Saint-Péray, Rhône Valley, France","(44.9454417, 4.8430943, 0.0)"
"Cadillac, Bordeaux, France","(44.9478909, -0.5569397, 0.0)"
"Old Mission Peninsula, Michigan, US","(44.9622232, -85.485356, 0.0)"
"Cornas, Rhône Valley, France","(44.963521, 4.847545, 0.0)"
"Eola-Amity Hills, Oregon, US","(44.969579100000004, -123.15190753320422, 0.0)"
"Pavia, Lombardy, Italy","(45.036854649999995, 9.137825082826026, 0.0)"
"Provincia di Pavia, Lombardy, Italy","(45.036854649999995, 9.137825082826026, 0.0)"
"Rosé de Loire, Loire Valley, France","(45.047760499999995, 3.928118002100837, 0.0)"
"Crozes-Hermitage, Rhône Valley, France","(45.0907, 4.84592, 0.0)"
"Niagara Peninsula, Ontario, Canada","(45.1515368, -81.3355078, 0.0)"
"Tavel, Rhône Valley, France","(45.1895665, 5.6862456, 0.0)"
"McMinnville, Oregon, US","(45.2100367, -123.194463, 0.0)"
"Colli Euganei, Veneto, Italy","(45.226734, 11.6638662, 0.0)"
"Yamhill County, Oregon, US","(45.2298399, -123.2180414, 0.0)"
"Marcillac, Southwest France, France","(45.27374695, -0.49955961805011406, 0.0)"
"Dundee Hills, Oregon, US","(45.286564, -123.07406430242298, 0.0)"
"Willamette Valley, Oregon, US","(45.3444247, -122.6583007, 0.0)"
"Arcole, Veneto, Italy","(45.3582108, 11.2860916, 0.0)"
"Ribbon Ridge, Oregon, US","(45.36636715, -123.0699902880977, 0.0)"
"Chehalem Mountains, Oregon, US","(45.3676909, -123.00640669254446, 0.0)"
"Custoza, Veneto, Italy","(45.3764733, 10.7959337, 0.0)"
"Soave, Veneto, Italy","(45.4202303, 11.247722, 0.0)"
"Venezia, Veneto, Italy","(45.4371908, 12.3345898, 0.0)"
"Veneto, Veneto, Italy","(45.437878, 10.7543423, 0.0)"
"Val de Loire, Loire Valley, France","(45.4399177, 4.3878221, 0.0)"
"Côtes du Rhône Villages, Rhône Valley, France","(45.4559451, 5.5192803, 0.0)"
"Lugana, Lombardy, Italy","(45.4600534, 10.6196897, 0.0)"
"Condrieu, Rhône Valley, France","(45.4624294, 4.7676199, 0.0)"
"Côtes du Rhône, Rhône Valley, France","(45.4669313, 4.9005005, 0.0)"
"Rogue Valley, Oregon, US","(45.5155088, -122.65702358653776, 0.0)"
"Recioto della Valpolicella, Veneto, Italy","(45.5264025, 10.9410042, 0.0)"
"Columbia Valley (OR), Oregon, US","(45.52966955, -122.82488740322556, 0.0)"
"Valpolicella, Veneto, Italy","(45.5296706, 10.9400217, 0.0)"
"Veneto Orientale, Veneto, Italy","(45.5364151, 12.6430493, 0.0)"
"Périgord, Southwest France, France","(45.5449404, 1.0413194, 0.0)"
"Bardolino, Veneto, Italy","(45.5475595, 10.7242145, 0.0)"
"Saint-Joseph, Rhône Valley, France","(45.5558586, 4.6178895, 0.0)"
"Hermitage, Rhône Valley, France","(45.5767428, 5.2197156, 0.0)"
"Terre di Franciacorta, Lombardy, Italy","(45.59955195, 10.106685764146746, 0.0)"
"Veronese, Veneto, Italy","(45.6059385, 10.7951325, 0.0)"
"Franciacorta, Lombardy, Italy","(45.612444350000004, 10.05328133186044, 0.0)"
"Todi, Central Italy, Italy","(45.6127672, 8.8745177, 0.0)"
"Columbia Gorge (WA), Washington, US","(45.6177902, -121.16635464822362, 0.0)"
"Rosso del Veronese, Veneto, Italy","(45.6286888, 10.8083183, 0.0)"
"Monti Lessini, Veneto, Italy","(45.6550714, 11.00613726178793, 0.0)"
"Columbia Gorge (OR), Oregon, US","(45.657502, -121.07445123889116, 0.0)"
"Valdadige, Veneto, Italy","(45.6582406, 10.9025042, 0.0)"
"Luberon, Rhône Valley, France","(45.7040767, 4.918631125773569, 0.0)"
"Breganze, Veneto, Italy","(45.7081441, 11.5647668, 0.0)"
"Gigondas, Rhône Valley, France","(45.7196336, 4.8605667, 0.0)"
"Sebino, Lombardy, Italy","(45.7388781, 10.07086612061877, 0.0)"
"Idaho, Idaho, US","(45.7680684, -115.5160723, 0.0)"
"Lombardy, Lombardy, Italy","(45.772014799999994, 8.989867754035135, 0.0)"
"Lison-Pramaggiore, Veneto, Italy","(45.7788246, 12.7367108, 0.0)"
"Marca Trevigiana, Veneto, Italy","(45.79616915, 11.912388868014252, 0.0)"
"Lake Michigan Shore, Michigan, US","(45.8411111, -87.0188889, 0.0)"
"Prosecco di Valdobbiadene, Veneto, Italy","(45.8734603, 12.0275133, 0.0)"
"Colli di Conegliano, Veneto, Italy","(45.8870343, 12.2906527, 0.0)"
"Prosecco, Veneto, Italy","(45.9023795, 12.0923802, 0.0)"
"Prosecco del Veneto, Veneto, Italy","(45.9023795, 12.0923802, 0.0)"
"Prosecco Treviso, Veneto, Italy","(45.9023795, 12.0923802, 0.0)"
"Walla Walla Valley (WA), Washington, US","(46.0667277, -118.3393456, 0.0)"
"Côte de Brouilly, Beaujolais, France","(46.0893824, 4.6470174, 0.0)"
"Beaujolais, Beaujolais, France","(46.1125998, 4.7301906, 0.0)"
"Beaujolais Rosé, Beaujolais, France","(46.1125998, 4.7301906, 0.0)"
"Fleurie, Beaujolais, France","(46.112843, 4.7400347, 0.0)"
"Brouilly, Beaujolais, France","(46.1131255, 4.7223641, 0.0)"
"Régnié, Beaujolais, France","(46.1259969, 4.6338662, 0.0)"
"Morgon, Beaujolais, France","(46.141154900000004, 4.713263865705778, 0.0)"
"Piave, Veneto, Italy","(46.1551313, 12.2517021, 0.0)"
"Chiroubles, Beaujolais, France","(46.1892965, 4.628457363636368, 0.0)"
"Côte Rôtie, Rhône Valley, France","(46.1932418, 3.2967983, 0.0)"
"Juliénas, Beaujolais, France","(46.2388774, 4.7162347, 0.0)"
"Ventoux, Rhône Valley, France","(46.2664095, 3.4689401, 0.0)"
"Snipes Mountain, Washington, US","(46.3115194, -120.0894904, 0.0)"
"San Carlos, Mendoza Province, Argentina","(-46.4290979, -67.9346781, 0.0)"
"Maipú, Mendoza Province, Argentina","(-46.4470486, -67.5117595, 0.0)"
"Rattlesnake Hills, Washington, US","(46.4476327, -119.8400381, 0.0)"
"Chaume, Loire Valley, France","(46.4971966, -1.8037854, 0.0)"
"Châteaumeillant, Loire Valley, France","(46.5608687, 2.1962014, 0.0)"
"Anjou, Loire Valley, France","(46.564187, 5.3193257, 0.0)"
"Yakima Valley, Washington, US","(46.601557, -120.5108421, 0.0)"
"Naches Heights, Washington, US","(46.6409587, -120.6420137, 0.0)"
"Wahluke Slope, Washington, US","(46.7206936, -119.3980773, 0.0)"
"Muscadet, Loire Valley, France","(46.7565822, -1.0936347, 0.0)"
"Bonnezeaux, Loire Valley, France","(47.0785386, -0.8368063, 0.0)"
"Reuilly, Loire Valley, France","(47.0851206, 2.0434337, 0.0)"
"Quincy, Loire Valley, France","(47.133365, 2.1574605, 0.0)"
"Haut-Poitou, Loire Valley, France","(47.1592878, -0.0153828, 0.0)"
"Chinon, Loire Valley, France","(47.1667182, 0.2402095, 0.0)"
"Menetou-Salon, Loire Valley, France","(47.2315397, 2.4886282, 0.0)"
"Saumur-Champigny, Loire Valley, France","(47.23229335, -0.02113217216551454, 0.0)"
"Ancient Lakes, Washington, US","(47.2359879, -119.84526697008943, 0.0)"
"Saumur, Loire Valley, France","(47.2596224, -0.0785177, 0.0)"
"Pouilly-sur-Loire, Loire Valley, France","(47.281542, 2.9583419, 0.0)"
"Bourgueil, Loire Valley, France","(47.2827691, 0.1788873, 0.0)"
"Saint-Nicolas-de-Bourgueil, Loire Valley, France","(47.2843794, 0.1256895, 0.0)"
"Coteaux du Layon La Faye, Loire Valley, France","(47.2929454, -0.5232988, 0.0)"
"Bourgogne, Burgundy, France","(47.3116927, 5.072100237731858, 0.0)"
"Coteaux du Layon, Loire Valley, France","(47.3165909, -0.6169720962188378, 0.0)"
"Coteaux du Layon Beaulieu, Loire Valley, France","(47.3165909, -0.6169720962188378, 0.0)"
"Sancerre, Loire Valley, France","(47.3307251, 2.8390333, 0.0)"
"Savennières, Loire Valley, France","(47.3830917, -0.6570828, 0.0)"
"Savennières-Roche-Aux-Moines, Loire Valley, France","(47.3863888, -0.6429235, 0.0)"
"Montlouis-sur-Loire, Loire Valley, France","(47.3881023, 0.8269289, 0.0)"
"Touraine Amboise, Loire Valley, France","(47.3933053, 1.0030387, 0.0)"
"Vouvray, Loire Valley, France","(47.4136687, 0.7998446, 0.0)"
"Rosé d'Anjou, Loire Valley, France","(47.4913753, -0.5057815, 0.0)"
"Cheverny, Loire Valley, France","(47.4996989, 1.4611064, 0.0)"
"Touraine Mesland, Loire Valley, France","(47.5077338, 1.1220406, 0.0)"
"Cour-Cheverny, Loire Valley, France","(47.512759, 1.4588243, 0.0)"
"Anjou Villages, Loire Valley, France","(47.51815895, 0.12858233212816428, 0.0)"
"Touraine, Loire Valley, France","(47.5390122, -0.4354531, 0.0)"
"Columbia Valley (WA), Washington, US","(47.5639879, -122.2754019, 0.0)"
"Coteaux du Giennois, Loire Valley, France","(47.6831795, 2.6534443, 0.0)"
"Chelan County, Washington, US","(47.8012197, -120.6276904, 0.0)"
"Puget Sound, Washington, US","(47.8331514, -122.4345806, 0.0)"
"Champagne, Champagne, France","(48.0668611, -0.0460854, 0.0)"
"Pays de Loire, Loire Valley, France","(48.0740778, -0.7627487, 0.0)"
"Lake Chelan, Washington, US","(48.07858615, -120.4757138372714, 0.0)"
"Red Mountain, Washington, US","(48.6004074, -120.986781, 0.0)"
"Alsace, Alsace, France","(48.68046425, 6.151336022559807, 0.0)"
"Pécharmant, Southwest France, France","(48.8916709, 2.2540698, 0.0)"
"Okanagan Valley, British Columbia, Canada","(49.4658159, -120.2505542, 0.0)"
"Uco Valley, Mendoza Province, Argentina","(-50.3383621, -72.2609527, 0.0)"
"Mendoza, Mendoza Province, Argentina","(-51.6121723, -69.2241958, 0.0)"
